0, p1s1,p1s2,p1s3,p2s1,p2s2,p2s3
1,725.1262916,666.6666667,666.6666667,764.2977396,764.2977396,666.6666667
2,725.1262916,666.6666667,666.6666667,764.2977396,764.2977396,764.2977396
3,725.1262916,666.6666667,666.6666667,764.2977396,764.2977396,764.2977396
4,764.2977396,666.6666667,666.6666667,764.2977396,764.2977396,764.2977396
5,764.2977396,666.6666667,666.6666667,764.2977396,764.2977396,764.2977396
6,764.2977396,666.6666667,666.6666667,764.2977396,764.2977396,764.2977396
7,764.2977396,666.6666667,727.834473,764.2977396,764.2977396,764.2977396
8,764.2977396,666.6666667,727.834473,764.2977396,764.2977396,764.2977396
9,764.2977396,666.6666667,727.834473,764.2977396,764.2977396,764.2977396
10,764.2977396,666.6666667,727.834473,807.5499103,764.2977396,764.2977396
11,807.5499103,666.6666667,727.834473,807.5499103,764.2977396,764.2977396
12,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
13,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
14,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
15,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
16,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
17,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
18,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
19,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
20,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
21,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
22,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
23,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
24,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,764.2977396
25,807.5499103,764.2977396,727.834473,807.5499103,764.2977396,813.6610019
